scorer,,,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah,sarah
bodyparts,,,twelve,twelve,onehalf,onehalf,three,three,fourhalf,fourhalf,six,six,sevenhalf,sevenhalf,nine,nine,tenhalf,tenhalf
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,12C,img000407.png,190.66504571661514,70.24136625706132,234.7801234639799,117.41392464038205,212.94097606429435,181.18423504746374,141.74535554131958,230.9774911187467,67.4922543823889,228.79357637877817,37.35423097082287,182.9313668394386,,,,
labeled-data,12C,img000502.png,233.46977461999873,109.11504862850157,,,208.13636363636354,175.94283967153922,141.30857259332592,222.2418321588725,67.92903733038261,225.73609574282222,36.91744802282918,186.42563042338827,,,,
labeled-data,12C,img001614.png,142.1821384893133,100.81617261662106,154.8488439811309,121.34497117232547,144.80283617727557,143.18411857201096,121.65333993360892,158.90830469978454,96.75671189796745,157.16117290780969,87.14748704210584,141.00020383204242,95.88314600198007,117.41392464038205,114.66481276570957,102.56330440859591
labeled-data,12C,img004615.png,142.1821384893133,99.94260672063365,157.03275872109944,120.47140527633803,144.36605322928185,144.05768446799837,118.15907634965927,162.8393512317279,91.0785335740492,161.09221943975308,81.90609166618131,143.62090152000468,93.26244831401775,117.41392464038205,114.66481276570957,103.0000873565896
labeled-data,12C,img010534.png,146.11318502125673,120.47140527633803,159.21667346106804,140.12663793605498,151.35458039718125,158.90830469978454,127.76830120552088,175.94283967153922,104.18202201386052,171.57501019160213,96.31992894997379,155.41404111583486,105.49237085784168,134.44845961213676,124.27403762157118,121.78175412031916
labeled-data,12C,img016927.png,132.5729136334517,93.82764544872168,139.12465785335738,110.86218042047639,128.2050841535146,127.45993244423738,110.7337662337662,139.68985498806128,87.58426999009956,138.37950614408015,82.77965756216875,123.52888591229399,93.69923126201147,105.18400209655817,111.17054918175992,94.70121134470912
labeled-data,12C,img018272.png,140.8717896453322,99.06904082464621,150.91779744918753,116.10357579640092,139.12465785335738,137.06915730009902,117.72229340166555,151.04621163589775,92.38888241803036,150.1726457399103,84.9635723021373,132.2645448721682,97.19349484596117,112.17252926445752,117.72229340166555,99.94260672063365
labeled-data,12C,img024023.png,139.99822374934476,109.98861452448898,150.91779744918753,132.2645448721682,140.87178964533214,152.79334342787257,115.10159571370329,169.39109545163356,89.7681847300681,166.3336148156776,82.34287461417503,149.2990798439229,91.0785335740492,124.40245180828143,113.35446392172847,110.86218042047639
labeled-data,12C,img027476.png,150.91779744918753,102.56330440859591,160.52702230504914,123.0921029643003,148.733882709219,145.3680333119795,121.65333993360892,164.14970007570903,97.19349484596117,160.65543649175936,87.58426999009956,141.0002038320424,98.06706074194861,118.72427348436318,120.34299108962782,104.31043620057073
